@relation 'C__Users_frans.DESKTOP-213GP7U_Desktop_p2-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-C-T-I-N1-L-stemmerweka.core.stemmers.LovinsStemmer-stopwords-handlerweka.core.stopwords.WordsFromFile -stopwords /Users/xvenve/Gits/IAO-P2/Recursos/StopWordsEN.txt-M10-tokenizerweka.core.tokenizers.CharacterNGramTokenizer -max 3 -min 1-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.unsupervised.attribute.Remove-V-R11,18,25,28,42,69,82,87,106,136,142,168,237,270,299,304,308,366,378,404,409,412,420,499,516,550,591,636,646,689,697-698,706,770,781,823,825,829,853,855,872,886,897,930,1042,1062,1081,1085,1119,1166,1172-1173,1175-1177,1179,1187,1201,1249,1_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute ' b' numeric
@attribute ' d' numeric
@attribute ' f' numeric
@attribute ' g' numeric
@attribute ' n' numeric
@attribute ' w' numeric
@attribute '\'' numeric
@attribute '\'t' numeric
@attribute '. ' numeric
@attribute 'a g' numeric
@attribute abl numeric
@attribute asy numeric
@attribute 'd n' numeric
@attribute e numeric
@attribute ea numeric
@attribute eat numeric
@attribute ed numeric
@attribute fa numeric
@attribute fo numeric
@attribute gif numeric
@attribute gr numeric
@attribute h numeric
@attribute har numeric
@attribute joy numeric
@attribute l numeric
@attribute lov numeric
@attribute n numeric
@attribute nn numeric
@attribute o numeric
@attribute ood numeric
@attribute ot numeric
@attribute 'ot ' numeric
@attribute ov numeric
@attribute re numeric
@attribute ric numeric
@attribute 's y' numeric
@attribute 's!\r' numeric
@attribute 's.\r' numeric
@attribute siz numeric
@attribute sl numeric
@attribute 'sy ' numeric
@attribute 't w' numeric
@attribute tab numeric
@attribute u numeric
@attribute ' ok' numeric
@attribute bac numeric
@attribute etu numeric
@attribute gn numeric
@attribute nsw numeric
@attribute urn numeric
@attribute '\nb' numeric
@attribute '\ng' numeric
@attribute '\nn' numeric
@attribute '\nth' numeric
@attribute '\nw' numeric
@attribute '\r\ng' numeric
@attribute cen numeric
@attribute ttl numeric
@attribute nth numeric
@attribute @@class@@ {excellent,fair,good,poor,verygood}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,0.775299,0.338628,0,0.837118,0.467767,0,0,0.239016,0,0,0,0,0.003217,0.553552,0,0.499905,1.440643,0,0,0,0.102335,0,0,0.082345,1.698997,0.045823,0,0.00966,0,0.572351,0.805949,1.667196,0.173484,0,0,0,0,0,0,0,0,0,0.106616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster0
0.647729,1.041117,0.805437,0.826738,1.124131,0.497793,1.070534,1.553875,0.508717,0,0,0,0,0.004185,0.468997,1.368352,0.671302,0,0.845631,0,0,0.106361,0,0,0.042777,0,0.045073,0,0.011645,1.812569,0.768587,0,0,0.46593,0,0,0,0,0,0,0,0,0,0.14317,0,0,2.752526,0,0,2.543927,0,0,0,0,0,0,0,0,0,fair,cluster3
0.387813,0.404901,0.267597,0.321527,0.576265,0.311947,0.372555,0,0.2438,0.747918,0.552169,0,0,0.00177,0.38106,0.476198,0.147397,0.673249,0.117147,0,0.659468,0.060572,0,0,0.056142,1.163167,0.02663,1.112619,0.004669,0,0.337515,0.237634,1.211712,0.248494,0,1.220456,0,1.12398,0,0,0.894391,0,0.645059,0.08572,0,1.312087,0,0,0,0,0,0,0,0,0,0,0,0,0,good,cluster3
0.436036,0.58144,0.306113,0.443363,0.602848,0.394327,0,0,0.342457,0,0.339953,0,0,0.001888,0.190199,0,0.63561,1.27956,0.352887,0,0,0.061509,0.656246,0,0.052044,0,0.028314,0,0.005441,0,0.311696,0,0.572844,0.226952,0,0,0,0,0,0,0,0.925361,0.501138,0.104553,0,0,0.70429,1.987159,0,0.650915,0,0,0,0,0,0,0,0,0,poor,cluster3
0.482844,0.37029,0.306125,0.294043,0.70817,0.354096,0.380753,0,0.265063,0.764376,0.596284,0,0,0.002378,0.431188,0.486676,0,0.688064,0,0,0.729182,0.078322,0,0,0.072343,1.286128,0.034521,0.901132,0.005994,0,0.27336,0,1.410385,0.30661,0,1.247312,0,0.910334,0,0,0.914072,0,0.696594,0.096383,0,1.340959,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster3
0,1.058076,0,0,1.142442,0.741132,0,0,0.326193,0,0,0,0,0.00333,0,0,0.682236,0,0,0,0,0.073785,0,0,0.068905,0,0.050996,0,0.008272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,excellent,cluster0
0,0,0,0,1.461598,0.647232,0,0,0,0,0,0,0,0.003923,0,0,0,0,0,0,0,0.138291,3.33471,0,0.166858,0,0.050479,0,0.007224,0,0.999318,1.407177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fair,cluster1
0.229608,0,0.432021,0.477966,0.583768,0.385148,0.601469,0.550819,0.294107,0.76183,0.47097,0,0,0.002347,0.263501,0.485055,0.237964,0,0.530949,0,0.726753,0.066371,0,0,0.066604,0,0.026884,0,0.006424,0,0,0,1.162626,0.314418,0.64744,0,0,0.907301,0,0,0,0.456654,0.550199,0.110773,0,1.336492,0,0,0,0,0,0,0,0,0,0,0,0,0,good,cluster3
0,0,0.248053,0,0.971914,0.430387,0,0,0.277503,0,0,0,0,0.003028,0,0,0,0,0,0,0,0.039604,0,0,0.05862,0,0.026601,0,0.008509,0,0.664513,0.935726,0,0.467681,0,0,0,0,0,0,0,0,0,0.123784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,poor,cluster1
0,0,0.667845,0,1.126963,0,0,0,0,0,0,0,0,0.003285,0,0,0,0,0.847761,0,0,0,0,0,0.099576,0,0.038921,0,0.009866,0,0,0,2.244447,0,0,0,0,0,0,0,0,0,0,0.181116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,verygood,cluster1
